Fato;Categoria
Homicídio em decorrência de ação policial ou em decorrência de confronto com agente público em serviço;Atos infracionais contra a Vida
Homicídio;Atos infracionais contra a Vida
Homicídio;Atos infracionais contra a Vida
Tentativa de Homicídio;Atos infracionais contra a Vida
Tentativa de Homicídio;Atos infracionais contra a Vida
Homicídio;Atos infracionais contra a Vida
Induzimento, instigação ou auxílio a suicídio;Atos infracionais contra a Vida
Infanticídio;Atos infracionais contra a Vida
Aborto;Atos infracionais contra a Vida
Aborto;Atos infracionais contra a Vida
Aborto;Atos infracionais contra a Vida
Aborto;Atos infracionais contra a Vida
Organização criminosa (Lei nº. 12.850/13);Atos infracionais contra a Incolumidade Pública
Apologia de crime ou criminoso;Atos infracionais contra a Incolumidade Pública
Curandeirismo;Atos infracionais contra a Incolumidade Pública
Desabamento ou desmoronamento;Atos infracionais contra a Incolumidade Pública
Desabamento ou desmoronamento culposo;Atos infracionais contra a Incolumidade Pública
Difusão de doença ou praga;Atos infracionais contra a Incolumidade Pública
Emprego de processo proibido ou substância não permitida no fabrico de coisa destinada a consumo;Atos infracionais contra a Incolumidade Pública
Envenenamento de água potável ou de substância alimentícia ou medicinal;Atos infracionais contra a Incolumidade Pública
Envenenamento de água potável ou de substância alimentícia ou medicinal culposa;Atos infracionais contra a Incolumidade Pública
Epidemia culposa;Atos infracionais contra a Incolumidade Pública
Exercício ilegal da medicina, arte dentária ou farmacêutica;Atos infracionais contra a Incolumidade Pública
Explosão;Atos infracionais contra a Incolumidade Pública
Explosão culposa;Atos infracionais contra a Incolumidade Pública
Fabricar, vender, expor à outras substâncias nocivas à saúde pública;Atos infracionais contra a Incolumidade Pública
Fabrico, fornecimento, aquisição, posse ou transporte de explosivos, gás tóxico ou asfixiante;Atos infracionais contra a Incolumidade Pública
Falsificação, corrupção de produto destinado a fins terapêuticos;Atos infracionais contra a Incolumidade Pública
Falsificar  produtos alimentícios;Atos infracionais contra a Incolumidade Pública
Incêndio;Atos infracionais contra a Incolumidade Pública
Incêndio (Violência doméstica);Atos infracionais contra a Incolumidade Pública
Incêndio culposo;Atos infracionais contra a Incolumidade Pública
Incitação ao crime;Atos infracionais contra a Incolumidade Pública
Indicar em invólucro ou recipiente falsa indicação;Atos infracionais contra a Incolumidade Pública
Associação criminosa;Atos infracionais contra a Incolumidade Pública
Apologia ou incitação ao crime ou ato criminoso;Atos infracionais contra a Incolumidade Pública
Condutas assemelhadas contra a saúde pública;Atos infracionais contra a Incolumidade Pública
Desabamento ou desmoronamento;Atos infracionais contra a Incolumidade Pública
Desabamento ou desmoronamento;Atos infracionais contra a Incolumidade Pública
Condutas assemelhadas contra a saúde pública;Atos infracionais contra a Incolumidade Pública
Condutas assemelhadas contra a saúde pública;Atos infracionais contra a Incolumidade Pública
Condutas assemelhadas contra a saúde pública;Atos infracionais contra a Incolumidade Pública
Condutas assemelhadas contra a saúde pública;Atos infracionais contra a Incolumidade Pública
Condutas assemelhadas contra a saúde pública;Atos infracionais contra a Incolumidade Pública
Condutas assemelhadas contra a saúde pública;Atos infracionais contra a Incolumidade Pública
Explosão e/ou manuseio de explosivo ou gás asfixiante;Atos infracionais contra a Incolumidade Pública
Explosão e/ou manuseio de explosivo ou gás asfixiante;Atos infracionais contra a Incolumidade Pública
Condutas assemelhadas contra a saúde pública;Atos infracionais contra a Incolumidade Pública
Explosão e/ou manuseio de explosivo ou gás asfixiante;Atos infracionais contra a Incolumidade Pública
Condutas assemelhadas contra a saúde pública;Atos infracionais contra a Incolumidade Pública
Condutas assemelhadas contra a saúde pública;Atos infracionais contra a Incolumidade Pública
Incêndio;Atos infracionais contra a Incolumidade Pública
Incêndio;Atos infracionais contra a Incolumidade Pública
Incêndio;Atos infracionais contra a Incolumidade Pública
Apologia ou incitação ao crime ou ato criminoso;Atos infracionais contra a Incolumidade Pública
Condutas assemelhadas contra a saúde pública;Atos infracionais contra a Incolumidade Pública
Art 288 do CP L12850/2013;Atos infracionais contra a Incolumidade Pública
Art 286 e 287 do CP;Atos infracionais contra a Incolumidade Pública
Art 267 a 285;Atos infracionais contra a Incolumidade Pública
Art 256 do CP;Atos infracionais contra a Incolumidade Pública
Art 256 do CP;Atos infracionais contra a Incolumidade Pública
Art 267 a 285;Atos infracionais contra a Incolumidade Pública
Art 267 a 285;Atos infracionais contra a Incolumidade Pública
Art 267 a 285;Atos infracionais contra a Incolumidade Pública
Art 267 a 285;Atos infracionais contra a Incolumidade Pública
Art 267 a 285;Atos infracionais contra a Incolumidade Pública
Art 267 a 285;Atos infracionais contra a Incolumidade Pública
Art 251 a 253 do CP;Atos infracionais contra a Incolumidade Pública
Art 251 a 253 do CP;Atos infracionais contra a Incolumidade Pública
Art 267 a 285;Atos infracionais contra a Incolumidade Pública
Art 251 a 253 do CP;Atos infracionais contra a Incolumidade Pública
Art 267 a 285;Atos infracionais contra a Incolumidade Pública
Art 267 a 285;Atos infracionais contra a Incolumidade Pública
Art 250 do CP;Atos infracionais contra a Incolumidade Pública
Art 250 do CP;Atos infracionais contra a Incolumidade Pública
Art 250 do CP;Atos infracionais contra a Incolumidade Pública
Art 286 e 287 do CP;Atos infracionais contra a Incolumidade Pública
Art 267 a 285;Atos infracionais contra a Incolumidade Pública
Direção perigosa;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Trafegar em velocidade incompatível com a segurança em locais com grande movimentação de pessoas, gerando perigo de dano;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Dirigir sem habilitação;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Dirigir, sem a devida habilitação, veículo em via pública ou embarcação a motor em águas públicas;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Dirigir veículo automotor sem habilitação ou cassada, gerando perigo de dano;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Acidente de trânsito (apenas danos materiais);Atos infracionais relacionados ao Código de Trânsito Brasileiro
Acidente de trânsito apenas danos materiais;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Inovar em acidente de trânsito, para induzir erro;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Lesão corporal acidente de trânsito;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Lesão corporal acidente de trânsito (sozinho);Atos infracionais relacionados ao Código de Trânsito Brasileiro
Lesão corporal acidente de trânsito - mulher;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Lesão corporal acidente de trânsito - menor;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Lesão corporal acidente de trânsito (sozinho) - homem;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Lesão corporal acidente de trânsito - homem;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Lesão corporal acidente de trânsito (sozinho) - menor;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Morte em acidente de trânsito (sozinho);Atos infracionais relacionados ao Código de Trânsito Brasileiro
Homicídio acidente de trânsito homem;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Homicídio acidente de trânsito menor;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Homicídio acidente de trânsito mulher;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Participar de racha;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Violar suspensão ou proibição de obter carteira de habilitação;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Afastar-se do local do acidente;Atos infracionais relacionados ao Código de Trânsito Brasileiro
O condutor afastar-se do veículo do local do acidente fugindo à responsabilidade penal ou civil;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Crimes de trânsito - sem tipificação específica (Lei nº. 9.503/97);Atos infracionais relacionados ao Código de Trânsito Brasileiro
Deixar o condutor de veículo de prestar socorro à vítima;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Deixar o condutor do veículo de prestar socorro à vítima;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Dirigir em velocidade incompatível nas proximidades de escola e/ou hospital;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Dirigir sob efeito álcool e/ou drogas;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Conduzir veículo com a capacidade psicomotora alterada, em razão da influência de álcool ou de outra substância psicoativa que determine dependência;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Entregar a direção de veículo a pessoa não habilitada;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Permitir/Confiar/Entregar direção de veículo automotor a pessoa não habilitada/com habilitação cassada/com o direito de dirigir suspenso/sem condições de conduzi-lo com segurança;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Entregar a direção de veículo à pessoa que não esteja em condições de conduzi-lo;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Homicídio acidente de trânsito;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Homicídio em acidente de trânsito;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Homicídio em acidente de trânsito;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Homicídio em acidente de trânsito;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Homicídio em acidente de trânsito;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Participar de racha;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Violar suspensão ou proibição de se obter carteira de habilitação;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Deixar o condutor de veículo de prestar socorro à vítima ou afastar-se do local do acidente;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Deixar o condutor de veículo de prestar socorro à vítima ou afastar-se do local do acidente;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Outros atos infracionais relacionados ao CTB;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Deixar o condutor de veículo de prestar socorro à vítima ou afastar-se do local do acidente;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Deixar o condutor de veículo de prestar socorro à vítima ou afastar-se do local do acidente;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Direção perigosa ou em velocidade incompatível;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Dirigir sob efeito álcool e/ou drogas;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Dirigir sob efeito álcool e/ou drogas;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Entregar, permitir ou confiar a direção de veículo a pessoa não habilitada;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Entregar, permitir ou confiar a direção de veículo a pessoa não habilitada;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Entregar a direção de veículo à pessoa que não esteja em condições de conduzi-lo;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Homicídio em acidente de trânsito;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Direção perigosa ou em velocidade incompatível;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Direção perigosa ou em velocidade incompatível;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Dirigir sem habilitação;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Dirigir sem habilitação;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Dirigir sem habilitação;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Danos materiais em acidentes de trânsito;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Danos materiais em acidentes de trânsito;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Outros atos infracionais relacionados ao CTB;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Lesão corporal em acidente de trânsito;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Lesão corporal em acidente de trânsito;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Lesão corporal em acidente de trânsito;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Lesão corporal em acidente de trânsito;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Lesão corporal em acidente de trânsito;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Lesão corporal em acidente de trânsito;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Lesão corporal em acidente de trânsito;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Lesão corporal em acidente de trânsito;Atos infracionais relacionados ao Código de Trânsito Brasileiro
Lesão corporal culposa na direção de veículo automotor;Atos infracionais contra a Integridade Física e Psicológica
Crimes eletrônicos (Lei nº. 12.737/12);Atos infracionais praticados em meio digital (Cibercrimes)
Art 154-A do CP (Lei 12.737/2012);Atos infracionais praticados em meio digital (Cibercrimes)
Invasão de dispositivo informático;Atos infracionais praticados em meio digital (Cibercrimes)
Condutas asemellhadas a atos infracionais em meio eletrônico ;Atos infracionais praticados em meio digital (Cibercrimes)
Invasão de dispositivo informático;Atos infracionais praticados em meio digital (Cibercrimes)
ECA - Crimes em espécie (Art. 228 a 258);Atos infracionais previstos pelo ECA
Vender, oferecer à criança e adolescentes fogos de artifício;Atos infracionais previstos pelo ECA
Corromper ou facilitar a corrupção de menor de 18 anos, com ele praticando infração penal ou induzindo-o a praticá-la;Atos infracionais previstos pelo ECA
Infrações penais previstas pelo ECA (ART. 228 A 258);Atos infracionais previstos pelo ECA
ECA ART;Atos infracionais previstos pelo ECA
ECA ART;Atos infracionais previstos pelo ECA
ECA ART-241;Atos infracionais previstos pelo ECA
ECA;Atos infracionais previstos pelo ECA
228;Atos infracionais previstos pelo ECA
229;Atos infracionais previstos pelo ECA
230;Atos infracionais previstos pelo ECA
231;Atos infracionais previstos pelo ECA
232;Atos infracionais previstos pelo ECA
233;Atos infracionais previstos pelo ECA
234;Atos infracionais previstos pelo ECA
ECA;Atos infracionais previstos pelo ECA
Art 241;Atos infracionais previstos pelo ECA
ECA;Atos infracionais previstos pelo ECA
Art 241;Atos infracionais previstos pelo ECA
Art 241;Atos infracionais previstos pelo ECA
art 240;Atos infracionais previstos pelo ECA
ECA;Atos infracionais previstos pelo ECA
Corrupção ou indução de menores para a prática de infração penal;Atos infracionais previstos pelo ECA
L8666/1993;Atos infracionais contra o Interesse e a Administração Pública em Geral
L7347/1985);Atos infracionais contra o Interesse e a Administração Pública em Geral
L201/1967;Atos infracionais contra o Interesse e a Administração Pública em Geral
L8429/1992;Atos infracionais contra o Interesse e a Administração Pública em Geral
L8137/1990;Atos infracionais contra o Interesse e a Administração Pública em Geral
L8137/1990;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 359-A a 359-H;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 338 a 359 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 330 e 331 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 330 e 331 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 338 a 359 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 338 a 359 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 338 a 359 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 345 e 346 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 338 a 359 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 345 e 346 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 350 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 338 a 359 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 338 a 359 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 338 a 359 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 338 a 359 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 338 a 359 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 338 a 359 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 338 a 359 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 349-A;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 338 a 359 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 338 a 359 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 338 a 359 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 338 a 359 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 359-A a 359-H;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 338 a 359 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 338 a 359 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 338 a 359 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 312 à 337 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 359-A a 359-H;Atos infracionais contra o Interesse e a Administração Pública em Geral
L8176/1991;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 293 a 311 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 293 a 311 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 293 a 311 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 293 a 311 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 293 a 311 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 293 a 311 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 293 a 311 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 293 a 311 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 293 a 311 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 289 a 292 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 293 a 311 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 293 a 311 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 293 a 311 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 293 a 311 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 289 a 292 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 289 a 292 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 289 a 292 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 289 a 292 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 293 a 311 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 293 a 311 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 293 a 311 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 293 a 311 do CP;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 260 a 266;Atos infracionais contra o Interesse e a Administração Pública em Geral
Crimes contra a lei de licitações (Lei nº. 8.666/93);Atos infracionais contra o Interesse e a Administração Pública em Geral
Crimes contra o sistema financeiro nacional;Atos infracionais contra o Interesse e a Administração Pública em Geral
Crimes da lei de ação civil pública (Lei nº. 7.347/85);Atos infracionais contra o Interesse e a Administração Pública em Geral
Crimes de responsabilidade de prefeitos e vereadores (Decreto-Lei nº. 201/67);Atos infracionais contra o Interesse e a Administração Pública em Geral
Improbidade administrativa (Lei n°. 8.429/92);Atos infracionais contra o Interesse e a Administração Pública em Geral
Crimes contra a ordem tributária (Lei nº. 8.137/90);Atos infracionais contra o Interesse e a Administração Pública em Geral
Lavagem de dinheiro;Atos infracionais contra o Interesse e a Administração Pública em Geral
Abandono de função;Atos infracionais contra o Interesse e a Administração Pública em Geral
Corrupção ativa;Atos infracionais contra o Interesse e a Administração Pública em Geral
Corrupção ativa de testemunha;Atos infracionais contra o Interesse e a Administração Pública em Geral
Corrupção passiva;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas contra as finanças públicas;Atos infracionais contra o Interesse e a Administração Pública em Geral
Deixar o agente público de cumprir dever legal de vedar ao preso aparelho telefônico e outros;Atos infracionais contra o Interesse e a Administração Pública em Geral
Denunciação caluniosa;Atos infracionais contra o Interesse e a Administração Pública em Geral
Desacato;Atos infracionais contra o Interesse e a Administração Pública em Geral
Descaminho;Atos infracionais contra o Interesse e a Administração Pública em Geral
Desobediência;Atos infracionais contra o Interesse e a Administração Pública em Geral
Desobediência a decisão judicial;Atos infracionais contra o Interesse e a Administração Pública em Geral
Descumprimento de ordem judicial;Atos infracionais contra o Interesse e a Administração Pública em Geral
Arrebatamento de preso;Atos infracionais contra o Interesse e a Administração Pública em Geral
Destruir, danificar coisa própria, que se acha em poder de terceiro por determinação judicial;Atos infracionais contra o Interesse e a Administração Pública em Geral
Evasão mediante violência contra a pessoa;Atos infracionais contra o Interesse e a Administração Pública em Geral
Exercício arbitrário das próprias razões;Atos infracionais contra o Interesse e a Administração Pública em Geral
Exercício arbitrário ou abuso de poder;Atos infracionais contra o Interesse e a Administração Pública em Geral
Exercício funcional ilegalmente antecipado ou prolongado;Atos infracionais contra o Interesse e a Administração Pública em Geral
Extravio, sonegação ou inutilização de livro ou documento;Atos infracionais contra o Interesse e a Administração Pública em Geral
Facilitação de contrabando ou descaminho;Atos infracionais contra o Interesse e a Administração Pública em Geral
Falso testemunho ou falsa Perícia;Atos infracionais contra o Interesse e a Administração Pública em Geral
Favorecimento pessoal;Atos infracionais contra o Interesse e a Administração Pública em Geral
Favorecimento real;Atos infracionais contra o Interesse e a Administração Pública em Geral
Auto-acusação falsa;Atos infracionais contra o Interesse e a Administração Pública em Geral
Fraude processual;Atos infracionais contra o Interesse e a Administração Pública em Geral
Fuga de pessoa presa;Atos infracionais contra o Interesse e a Administração Pública em Geral
Fuga de pessoa presa ou submetida à medida de segurança;Atos infracionais contra o Interesse e a Administração Pública em Geral
Ingressar em presídio portando celular sem autorização legal;Atos infracionais contra o Interesse e a Administração Pública em Geral
Inserção de dados falsos em sistema de informações;Atos infracionais contra o Interesse e a Administração Pública em Geral
Loteamento irregular;Atos infracionais contra o Interesse e a Administração Pública em Geral
Modificação ou alteração não autorizada de sistema de informações;Atos infracionais contra o Interesse e a Administração Pública em Geral
Motim de presos;Atos infracionais contra o Interesse e a Administração Pública em Geral
Patrocínio infiel;Atos infracionais contra o Interesse e a Administração Pública em Geral
Patrocínio simultâneo ou tergiversação;Atos infracionais contra o Interesse e a Administração Pública em Geral
Peculato;Atos infracionais contra o Interesse e a Administração Pública em Geral
Coação no curso de processo;Atos infracionais contra o Interesse e a Administração Pública em Geral
Peculato mediante erro de outrem;Atos infracionais contra o Interesse e a Administração Pública em Geral
Prevaricação;Atos infracionais contra o Interesse e a Administração Pública em Geral
Resistência;Atos infracionais contra o Interesse e a Administração Pública em Geral
Sonegação de contribuição previdenciária;Atos infracionais contra o Interesse e a Administração Pública em Geral
Sonegação de papel ou objeto de valor probatório;Atos infracionais contra o Interesse e a Administração Pública em Geral
Subtração ou inutilização de livro ou documento;Atos infracionais contra o Interesse e a Administração Pública em Geral
Tráfico de influência;Atos infracionais contra o Interesse e a Administração Pública em Geral
Usurpação de função pública;Atos infracionais contra o Interesse e a Administração Pública em Geral
Violação de sigilo funcional;Atos infracionais contra o Interesse e a Administração Pública em Geral
Violência arbitrária;Atos infracionais contra o Interesse e a Administração Pública em Geral
